wl	%R
120	81.52347589
125	83.22349162
130	83.36584464
135	79.46762199
140	77.4964693
145	76.67581335
150	76.57827187
155	76.8365223
160	76.99669566
165	77.26816233
170	78.31536371
175	80.08414854
180	81.7537806
185	82.82199959
190	84.33820139
195	85.45380297
200	85.96345286
205	86.75073617
210	87.48129725
215	88.10963188
220	88.58940405
225	89.88248967
230	90.37068618
235	90.7831756
240	90.58979459
245	91.9065751
250	91.64524925
255	92.10977504
260	92.71982207
265	92.64707981
270	93.08957247
275	93.19412716
280	93.23620579
285	92.6397548
290	92.77210618
295	92.8591354
300	93.05796059
305	92.92616688
310	92.76274867
315	93.33154575
320	92.88493235
325	92.96702957
330	93.76138048
335	94.15459626
340	93.98188302
345	93.70718329
350	93.32271635
355	92.37768359
360	93.77509525
365	93.87533547
370	93.02566277
375	92.64786428
380	94.83339888
385	94.65273004
390	93.62643706
395	93.47690936
400	92.94449922
405	92.17733007
410	91.88720909
415	91.77282475
420	91.85179121
425	91.86845278
430	91.70023396
435	92.23846473
440	92.09517228
445	92.06995952
450	91.99126575
455	91.42109769
460	91.51467358
465	91.45926047
470	91.37227891
475	91.30655198
480	91.24118458
485	91.14700924
490	90.99593084
495	90.96068272
500	91.07133427
505	90.77053456
510	90.79414867
515	90.6817794
520	90.53010198
525	90.40116779
530	90.17317234
535	90.09535183
540	90.13328309
545	90.03084031
550	89.86522383
555	89.80596633
560	89.93525166
565	89.8249478
570	89.76432287
575	89.5793361
580	89.76270988
585	89.24363293
590	88.78660982
595	88.6194828
600	88.49073251
