wavelength (nm)	transmission (%)
120	12.46494877
121	13.52162576
122	14.55553371
123	15.9606309
124	17.27050198
125	17.83783623
126	18.33792331
127	18.73678576
128	18.84392055
129	18.88627056
130	18.8440872
131	18.75575854
132	18.61840049
133	18.58066767
134	18.3424804
135	18.27462221
136	18.22311056
137	18.12282674
138	18.12479315
139	18.04474993
140	18.12459241
141	17.99546487
142	18.25640166
143	18.41196494
144	18.59480049
145	18.71764148
146	19.02600714
147	19.18004874
148	19.47663473
149	19.65420592
150	19.9961329
151	20.33455913
152	20.47071443
153	20.79754089
154	21.15002798
155	21.42153466
156	21.67637755
157	21.86127445
158	22.15460886
159	22.37358134
160	22.54514318
161	22.60318056
162	22.92822192
163	23.07525251
164	23.18517565
165	23.29670515
166	23.32348581
167	23.34436111
168	23.51262856
169	23.40467159
170	23.56410808
171	23.6054761
172	23.55259945
173	23.50155366
174	23.29507038
175	23.43690833
176	23.18322974
177	23.13663508
178	23.11695336
179	22.84796087
180	22.45557971
181	22.40192003
182	22.12822169
183	21.68576146
184	21.47194026
185	21.24642666
186	20.95675353
187	20.69126342
188	20.16694331
189	19.85945045
190	19.42072753
191	19.17458431
192	18.80484684
193	18.42187301
194	18.19483766
195	17.74565726
196	17.40427327
197	16.9818653
198	16.65114756
199	16.19939743
200	15.89980467
201	15.49310359
202	15.18630966
203	14.76479686
204	14.34211926
205	13.97718846
206	13.60771896
207	13.398
208	13.04254266
209	12.70087391
210	12.31689415
211	11.9863216
212	11.71409502
213	11.33819682
214	11.06383451
215	10.79559235
216	10.43514439
217	10.18733991
218	9.980857895
219	9.623153115
220	9.378391707
221	9.142212572
222	8.886168428
223	8.633542585
224	8.409880722
225	8.184236314
226	7.970330224
227	7.747379535
228	7.51020485
229	7.3376416
230	7.135228091
231	6.970359699
232	6.826288826
233	6.650415522
234	6.447356378
235	6.273143497
236	6.147263582
237	5.983314665
238	5.83758828
239	5.690319936
240	5.533643992
241	5.407682642
242	5.279343497
243	5.18133657
244	5.042619137
245	4.921181752
246	4.835659932
247	4.708387646
248	4.605422347
249	4.558570605
250	4.417744004
